hypothesis_id,exact_preregistered_wording,support_status,verification_level,primary_estimand,minimum_unit,required_denominator,available_public_evidence,missing_fields,request_targets,request_files,analysis_ready,current_answer
H0,Recorded suspect sex is not associated with enforcement decisions among incidents with comparable pre-decision evidence and circumstances.,unresolved_required_data_unavailable,confirmatory_not_answered,P(adverse enforcement | comparable event-party pre-decision facts),event-party,"all qualifying domestic-related event-parties, including no-arrest and no-report-only events",CBI aggregate offender/victim sex tables and Boulder PD public call disposition labels provide descriptive context only.,"party sex/gender, suspect/victim/caller roles, pre-decision evidence, relationship, injury, weapons, scene presence, probable-cause facts, outcome by party","Boulder PD, BCSO, Longmont, Lafayette, Louisville, Erie, CUPD, Boulder County Communications",records_requests/boulder_police_department.md; records_requests/boulder_county_sheriff_office.md; records_requests/longmont_public_safety.md; records_requests/lafayette_police.md; records_requests/louisville_police.md; records_requests/erie_police.md; records_requests/cu_boulder_police.md; records_requests/boulder_county_communications.md,no,unresolved for confirmatory inference
H1,The share of male suspects changes materially at one or more funnel transitions.,unresolved_required_data_unavailable,confirmatory_not_answered,"change in recorded male share across suspect, arrest, referral, filing, conviction, and sentence stages",linked person-stage records,stage-specific linked counts from call/event-party through court disposition,CBI public aggregate tables show male majority among known related offenders; no public linked funnel denominator is available.,"stable person/case join keys, arrest/referral/filing/count/disposition/sentence by recorded sex","all law-enforcement agencies, Twentieth Judicial District Attorney, Colorado Judicial Branch, municipal courts",records_requests/twentieth_judicial_da.md; records_requests/colorado_judicial_branch.md; records_requests/other_municipal_courts.md,partial_descriptive_only,"public data support only descriptive male-majority context, not funnel-transition testing"
H2,Male suspects have a different adjusted probability of arrest or sole-aggressor designation after conditioning only on facts available before the police decision.,unresolved_required_data_unavailable,confirmatory_not_answered,adjusted risk difference in arrest or sole-aggressor designation by recorded suspect sex,event-party,all qualifying event-parties with pre-decision facts,none sufficient; public calls lack party sex/gender and legally relevant facts,"party sex/gender, probable cause, injury, conduct, self-defense, opposing complaints, prior calls, protection orders, witnesses, officer decision",law-enforcement CAD/RMS custodians,records_requests/boulder_police_department.md and peer agency requests,no,unresolved for confirmatory inference
H3,"In opposing-complaint or bidirectional incidents, the within-incident probability of being the sole arrested party differs by recorded sex.",unresolved_required_data_unavailable,confirmatory_not_answered,within-incident probability of sole arrest among opposing-complaint/bidirectional incidents,party nested within incident,incidents with opposing complaints or independently codable bidirectional conduct,none sufficient; public layers do not identify opposing complaints or party-specific conduct,"opposing complaints, party-specific allegations/evidence, statutory predominant-aggressor factors, arrest outcome by party",law-enforcement CAD/RMS plus narratives/evidence sample,records_requests/boulder_police_department.md and peer agency requests,no,unresolved for confirmatory inference
H4,Investigation-completeness items differ by suspect or alleged-victim sex after accounting for feasibility and relevance.,unresolved_required_data_unavailable,confirmatory_not_answered,item-level and index-level investigation-completeness differences by recorded sex/dyad,investigative action item within event,all relevant and feasible investigative-action opportunities in sampled records,Boulder investigations-unit audit verifies process failures in a 46-case cohort but does not provide sex/dyad or full denominator.,"separate interviews, photos, 911/bodycam review, protection-order checks, self-defense review, witnesses, feasibility, recorded sex/gender",law-enforcement agencies; 46-case audit crosswalk custodians,records_requests/audit_46_cases/boulder_police_46_case_audit_crosswalk.md; records_requests/audit_46_cases/twentieth_da_46_case_audit_crosswalk.md,partial_process_context_only,unresolved for sex-specific confirmatory inference
H5,"Independently coded civil-only incidents involving male potential suspects have a different probability of criminal classification, DV designation, arrest, or referral.",unresolved_required_data_unavailable,confirmatory_not_answered,P(criminal/DV escalation | independently rated civil-only event) by potential suspect sex,event-party,independently coded civil-only event-parties,none sufficient; public labels cannot establish civil-only status or sex.,"narratives/evidence, legal-panel civil-only classification, sex/gender, criminal/DV classification, arrest/referral",law-enforcement agencies and legal-review sample records,records_requests/boulder_police_department.md and peer agency requests,no,unresolved for confirmatory inference
H6,Independently coded probable-cause incidents involving female potential suspects have a different probability of report-only or civil disposition.,unresolved_required_data_unavailable,confirmatory_not_answered,P(report-only or civil disposition | independently rated probable-cause event) by potential suspect sex,event-party,independently coded probable-cause event-parties,none sufficient; public labels cannot establish probable cause or sex.,"narratives/evidence, legal-panel probable-cause classification, sex/gender, report-only/civil/no-enforcement outcomes",law-enforcement agencies and legal-review sample records,records_requests/boulder_police_department.md and peer agency requests,no,unresolved for confirmatory inference
H7,"DA filing, count retention, dismissal, plea, conviction, and sentence differ by recorded defendant sex after stage-appropriate adjustment.",unresolved_required_data_unavailable,confirmatory_not_answered,stage-specific DA/court outcome differences by recorded defendant sex,case-defendant and charge count,all referred/filed/resolved DV-related counts with sex/gender and stage outcomes,public DA dashboard notes identify limits; docket proof of concept is not a count-level extract,"Action extract, count-level original/amended/final charges, no-file/dismissal reasons, pleas, convictions, sentences, treatment","Twentieth Judicial District Attorney, Colorado Judicial Branch, municipal courts",records_requests/twentieth_judicial_da.md; records_requests/colorado_judicial_branch.md; records_requests/boulder_municipal_court.md; records_requests/other_municipal_courts.md,no,unresolved for confirmatory inference
H8,Agency-specific adjusted disparities differ across Boulder County agencies.,unresolved_required_data_unavailable,confirmatory_not_answered,heterogeneity of adjusted disparities across Boulder County agencies,event-party with agency identifier,agency-specific comparable event-party cohorts,Boulder PD public calls available; comparable agency case-level data are absent,"agency-specific CAD/RMS schemas, sex/gender, pre-decision facts, outcomes",all Boulder County law-enforcement agencies,all agency records_requests/*.md,no,unresolved for confirmatory inference
H9,Boulder County estimates differ from matched Colorado agencies after case-mix and data-completeness adjustment.,unresolved_required_data_unavailable,confirmatory_not_answered,Boulder-vs-matched-Colorado-agency difference in adjusted estimates,event-party by agency,matched Colorado agency incident-level cohorts with comparable fields,CBI all-county rate ranks provide aggregate context only,comparison-agency case-level fields and data-completeness metrics,CBI and empirically selected comparison agencies after matching frame is finalized,records_requests/colorado_bureau_of_investigation.md,aggregate_context_only,unresolved for confirmatory inference
H10,"Reporting party, caller, scene-presence, and police-contact selection differ across sex and dyad categories, making arrest-only comparisons materially biased.",unresolved_required_data_unavailable,confirmatory_not_answered,"sex/dyad differences in reporting, caller, and scene-presence selection",call/event-party,"calls/events with caller role/sex, reporting role/sex, scene presence, and outcomes",public calls lack caller sex/role and party scene presence,"caller role, caller sex/gender, reporting party, party presence, nonresponse/no-report outcomes",Boulder County Communications and agency CAD/RMS custodians,records_requests/boulder_county_communications.md; agency records requests,no,unresolved for confirmatory inference
H11,Verified policy or training changes alter investigation completeness or enforcement patterns.,unresolved_required_data_unavailable,confirmatory_not_answered,policy/training change effect on investigation completeness or enforcement patterns,event or investigative item over time,pre/post cohorts around verified implementation dates with stable measurement,"December 2022 Boulder case-management reform is verified, but post-reform item-level completeness data are absent","policy versions, implementation dates, training records, pre/post case-level completeness outcomes",Boulder PD and other agency policy/training custodians,records_requests/boulder_police_department.md and peer agency requests,policy_context_only,unresolved for confirmatory inference
H12,"Officer, supervisor, prosecutor, agency, and year effects account for meaningful heterogeneity.",unresolved_required_data_unavailable,confirmatory_not_answered,"variance and clustering by officer, supervisor, prosecutor, agency, and year",event-party/case/count with actor identifiers,case-level cohorts with pseudonymous actor IDs and outcomes,none sufficient for actor-level modeling,"pseudonymous officer, supervisor, prosecutor, judge IDs; linked outcomes; disclosure controls","law-enforcement agencies, DA, Judicial Branch",records_requests/twentieth_judicial_da.md; records_requests/colorado_judicial_branch.md; agency records requests,no,unresolved for confirmatory inference
H13,"Results differ across race or ethnicity, age, disability or mental-health indicators, housing status, language access, and LGBTQ status where fields are reliable, lawful, and sufficiently powered.",unresolved_required_data_unavailable,confirmatory_not_answered,"heterogeneity by race/ethnicity, age, disability/mental-health indicators, housing, language, and LGBTQ status",event-party/case/count,legally and ethically releasable group fields with adequate cell sizes,stop demographic data exist but are not the DV incident cohort,"group fields in DV event-party records, reliability metadata, small-cell disclosure review","law-enforcement agencies, DA, Judicial Branch, municipal courts","agency, DA, and court records requests",no,unresolved for confirmatory inference
