request_file,public_download_path,request_title,linked_hypotheses,linked_missing_fields,linked_request_targets,authorization_status,transmission_status,sent_date,response_status,response_date,current_next_action
records_requests/audit_46_cases/boulder_police_46_case_audit_crosswalk.md,/dv/downloads/records_requests/audit_46_cases/boulder_police_46_case_audit_crosswalk.md,Boulder Police 46-Case Audit Crosswalk Request,H4,"separate interviews, photos, 911/bodycam review, protection-order checks, self-defense review, witnesses, feasibility, recorded sex/gender",law-enforcement agencies; 46-case audit crosswalk custodians,not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/audit_46_cases/twentieth_da_46_case_audit_crosswalk.md,/dv/downloads/records_requests/audit_46_cases/twentieth_da_46_case_audit_crosswalk.md,Twentieth Judicial District Attorney 46-Case Audit Crosswalk Request,H4,"separate interviews, photos, 911/bodycam review, protection-order checks, self-defense review, witnesses, feasibility, recorded sex/gender",law-enforcement agencies; 46-case audit crosswalk custodians,not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/boulder_county_communications.md,/dv/downloads/records_requests/boulder_county_communications.md,Boulder County Communications Records Request,H0; H10,"party sex/gender, suspect/victim/caller roles, pre-decision evidence, relationship, injury, weapons, scene presence, probable-cause facts, outcome by party | caller role, caller sex/gender, reporting party, party presence, nonresponse/no-report outcomes","Boulder PD, BCSO, Longmont, Lafayette, Louisville, Erie, CUPD, Boulder County Communications | Boulder County Communications and agency CAD/RMS custodians",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/boulder_county_jail.md,/dv/downloads/records_requests/boulder_county_jail.md,Boulder County Jail Records Request,,,,not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/boulder_county_sheriff_office.md,/dv/downloads/records_requests/boulder_county_sheriff_office.md,Boulder County Sheriff's Office Records Request,H0; H2; H3; H5; H6; H8; H10; H11; H12; H13,"party sex/gender, suspect/victim/caller roles, pre-decision evidence, relationship, injury, weapons, scene presence, probable-cause facts, outcome by party | party sex/gender, probable cause, injury, conduct, self-defense, opposing complaints, prior calls, protection orders, witnesses, officer decision | opposing complaints, party-specific allegations/evidence, statutory predominant-aggressor factors, arrest outcome by party | narratives/evidence, legal-panel civil-only classification, sex/gender, criminal/DV classification, arrest/referral | narratives/evidence, legal-panel probable-cause classification, sex/gender, report-only/civil/no-enforcement outcomes | agency-specific CAD/RMS schemas, sex/gender, pre-decision facts, outcomes | caller role, caller sex/gender, reporting party, party presence, nonresponse/no-report outcomes | policy versions, implementation dates, training records, pre/post case-level completeness outcomes | pseudonymous officer, supervisor, prosecutor, judge IDs; linked outcomes; disclosure controls | group fields in DV event-party records, reliability metadata, small-cell disclosure review","Boulder PD, BCSO, Longmont, Lafayette, Louisville, Erie, CUPD, Boulder County Communications | law-enforcement CAD/RMS custodians | law-enforcement CAD/RMS plus narratives/evidence sample | law-enforcement agencies and legal-review sample records | all Boulder County law-enforcement agencies | Boulder County Communications and agency CAD/RMS custodians | Boulder PD and other agency policy/training custodians | law-enforcement agencies, DA, Judicial Branch | law-enforcement agencies, DA, Judicial Branch, municipal courts",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/boulder_municipal_court.md,/dv/downloads/records_requests/boulder_municipal_court.md,Boulder Municipal Court Records Request,H7; H13,"Action extract, count-level original/amended/final charges, no-file/dismissal reasons, pleas, convictions, sentences, treatment | group fields in DV event-party records, reliability metadata, small-cell disclosure review","Twentieth Judicial District Attorney, Colorado Judicial Branch, municipal courts | law-enforcement agencies, DA, Judicial Branch, municipal courts",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/boulder_police_department.md,/dv/downloads/records_requests/boulder_police_department.md,Boulder Police Department Records Request,H0; H2; H3; H5; H6; H8; H10; H11; H12; H13,"party sex/gender, suspect/victim/caller roles, pre-decision evidence, relationship, injury, weapons, scene presence, probable-cause facts, outcome by party | party sex/gender, probable cause, injury, conduct, self-defense, opposing complaints, prior calls, protection orders, witnesses, officer decision | opposing complaints, party-specific allegations/evidence, statutory predominant-aggressor factors, arrest outcome by party | narratives/evidence, legal-panel civil-only classification, sex/gender, criminal/DV classification, arrest/referral | narratives/evidence, legal-panel probable-cause classification, sex/gender, report-only/civil/no-enforcement outcomes | agency-specific CAD/RMS schemas, sex/gender, pre-decision facts, outcomes | caller role, caller sex/gender, reporting party, party presence, nonresponse/no-report outcomes | policy versions, implementation dates, training records, pre/post case-level completeness outcomes | pseudonymous officer, supervisor, prosecutor, judge IDs; linked outcomes; disclosure controls | group fields in DV event-party records, reliability metadata, small-cell disclosure review","Boulder PD, BCSO, Longmont, Lafayette, Louisville, Erie, CUPD, Boulder County Communications | law-enforcement CAD/RMS custodians | law-enforcement CAD/RMS plus narratives/evidence sample | law-enforcement agencies and legal-review sample records | all Boulder County law-enforcement agencies | Boulder County Communications and agency CAD/RMS custodians | Boulder PD and other agency policy/training custodians | law-enforcement agencies, DA, Judicial Branch | law-enforcement agencies, DA, Judicial Branch, municipal courts",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/claims_and_settlements/boulder_county_claims_settlements.md,/dv/downloads/records_requests/claims_and_settlements/boulder_county_claims_settlements.md,Boulder County Claims And Settlements Request,,,,not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/claims_and_settlements/city_of_boulder_claims_settlements.md,/dv/downloads/records_requests/claims_and_settlements/city_of_boulder_claims_settlements.md,City of Boulder Claims And Settlements Request,,,,not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/colorado_bureau_of_investigation.md,/dv/downloads/records_requests/colorado_bureau_of_investigation.md,Colorado Bureau of Investigation Records Request,H9,comparison-agency case-level fields and data-completeness metrics,CBI and empirically selected comparison agencies after matching frame is finalized,not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/colorado_judicial_branch.md,/dv/downloads/records_requests/colorado_judicial_branch.md,Colorado Judicial Branch Compiled Data Request,H1; H7; H12; H13,"stable person/case join keys, arrest/referral/filing/count/disposition/sentence by recorded sex | Action extract, count-level original/amended/final charges, no-file/dismissal reasons, pleas, convictions, sentences, treatment | pseudonymous officer, supervisor, prosecutor, judge IDs; linked outcomes; disclosure controls | group fields in DV event-party records, reliability metadata, small-cell disclosure review","all law-enforcement agencies, Twentieth Judicial District Attorney, Colorado Judicial Branch, municipal courts | Twentieth Judicial District Attorney, Colorado Judicial Branch, municipal courts | law-enforcement agencies, DA, Judicial Branch | law-enforcement agencies, DA, Judicial Branch, municipal courts",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/court_outcomes/unjust_claims_court_outcomes.md,/dv/downloads/records_requests/court_outcomes/unjust_claims_court_outcomes.md,Court Outcomes Request For Favorable-Outcome And Damages Trend Module,,,,not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/cu_boulder/cu_boulder_oiec_litigation_settlements.md,/dv/downloads/records_requests/cu_boulder/cu_boulder_oiec_litigation_settlements.md,"CU Boulder OIEC, Litigation, And Settlement Request",,,,not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/cu_boulder_police.md,/dv/downloads/records_requests/cu_boulder_police.md,University of Colorado Boulder Police Department Records Request,H0; H2; H3; H5; H6; H8; H10; H11; H12; H13,"party sex/gender, suspect/victim/caller roles, pre-decision evidence, relationship, injury, weapons, scene presence, probable-cause facts, outcome by party | party sex/gender, probable cause, injury, conduct, self-defense, opposing complaints, prior calls, protection orders, witnesses, officer decision | opposing complaints, party-specific allegations/evidence, statutory predominant-aggressor factors, arrest outcome by party | narratives/evidence, legal-panel civil-only classification, sex/gender, criminal/DV classification, arrest/referral | narratives/evidence, legal-panel probable-cause classification, sex/gender, report-only/civil/no-enforcement outcomes | agency-specific CAD/RMS schemas, sex/gender, pre-decision facts, outcomes | caller role, caller sex/gender, reporting party, party presence, nonresponse/no-report outcomes | policy versions, implementation dates, training records, pre/post case-level completeness outcomes | pseudonymous officer, supervisor, prosecutor, judge IDs; linked outcomes; disclosure controls | group fields in DV event-party records, reliability metadata, small-cell disclosure review","Boulder PD, BCSO, Longmont, Lafayette, Louisville, Erie, CUPD, Boulder County Communications | law-enforcement CAD/RMS custodians | law-enforcement CAD/RMS plus narratives/evidence sample | law-enforcement agencies and legal-review sample records | all Boulder County law-enforcement agencies | Boulder County Communications and agency CAD/RMS custodians | Boulder PD and other agency policy/training custodians | law-enforcement agencies, DA, Judicial Branch | law-enforcement agencies, DA, Judicial Branch, municipal courts",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/erie_police.md,/dv/downloads/records_requests/erie_police.md,Erie Police Department Records Request,H0; H2; H3; H5; H6; H8; H10; H11; H12; H13,"party sex/gender, suspect/victim/caller roles, pre-decision evidence, relationship, injury, weapons, scene presence, probable-cause facts, outcome by party | party sex/gender, probable cause, injury, conduct, self-defense, opposing complaints, prior calls, protection orders, witnesses, officer decision | opposing complaints, party-specific allegations/evidence, statutory predominant-aggressor factors, arrest outcome by party | narratives/evidence, legal-panel civil-only classification, sex/gender, criminal/DV classification, arrest/referral | narratives/evidence, legal-panel probable-cause classification, sex/gender, report-only/civil/no-enforcement outcomes | agency-specific CAD/RMS schemas, sex/gender, pre-decision facts, outcomes | caller role, caller sex/gender, reporting party, party presence, nonresponse/no-report outcomes | policy versions, implementation dates, training records, pre/post case-level completeness outcomes | pseudonymous officer, supervisor, prosecutor, judge IDs; linked outcomes; disclosure controls | group fields in DV event-party records, reliability metadata, small-cell disclosure review","Boulder PD, BCSO, Longmont, Lafayette, Louisville, Erie, CUPD, Boulder County Communications | law-enforcement CAD/RMS custodians | law-enforcement CAD/RMS plus narratives/evidence sample | law-enforcement agencies and legal-review sample records | all Boulder County law-enforcement agencies | Boulder County Communications and agency CAD/RMS custodians | Boulder PD and other agency policy/training custodians | law-enforcement agencies, DA, Judicial Branch | law-enforcement agencies, DA, Judicial Branch, municipal courts",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/lafayette_police.md,/dv/downloads/records_requests/lafayette_police.md,Lafayette Police Department Records Request,H0; H2; H3; H5; H6; H8; H10; H11; H12; H13,"party sex/gender, suspect/victim/caller roles, pre-decision evidence, relationship, injury, weapons, scene presence, probable-cause facts, outcome by party | party sex/gender, probable cause, injury, conduct, self-defense, opposing complaints, prior calls, protection orders, witnesses, officer decision | opposing complaints, party-specific allegations/evidence, statutory predominant-aggressor factors, arrest outcome by party | narratives/evidence, legal-panel civil-only classification, sex/gender, criminal/DV classification, arrest/referral | narratives/evidence, legal-panel probable-cause classification, sex/gender, report-only/civil/no-enforcement outcomes | agency-specific CAD/RMS schemas, sex/gender, pre-decision facts, outcomes | caller role, caller sex/gender, reporting party, party presence, nonresponse/no-report outcomes | policy versions, implementation dates, training records, pre/post case-level completeness outcomes | pseudonymous officer, supervisor, prosecutor, judge IDs; linked outcomes; disclosure controls | group fields in DV event-party records, reliability metadata, small-cell disclosure review","Boulder PD, BCSO, Longmont, Lafayette, Louisville, Erie, CUPD, Boulder County Communications | law-enforcement CAD/RMS custodians | law-enforcement CAD/RMS plus narratives/evidence sample | law-enforcement agencies and legal-review sample records | all Boulder County law-enforcement agencies | Boulder County Communications and agency CAD/RMS custodians | Boulder PD and other agency policy/training custodians | law-enforcement agencies, DA, Judicial Branch | law-enforcement agencies, DA, Judicial Branch, municipal courts",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/longmont_public_safety.md,/dv/downloads/records_requests/longmont_public_safety.md,Longmont Public Safety Records Request,H0; H2; H3; H5; H6; H8; H10; H11; H12; H13,"party sex/gender, suspect/victim/caller roles, pre-decision evidence, relationship, injury, weapons, scene presence, probable-cause facts, outcome by party | party sex/gender, probable cause, injury, conduct, self-defense, opposing complaints, prior calls, protection orders, witnesses, officer decision | opposing complaints, party-specific allegations/evidence, statutory predominant-aggressor factors, arrest outcome by party | narratives/evidence, legal-panel civil-only classification, sex/gender, criminal/DV classification, arrest/referral | narratives/evidence, legal-panel probable-cause classification, sex/gender, report-only/civil/no-enforcement outcomes | agency-specific CAD/RMS schemas, sex/gender, pre-decision facts, outcomes | caller role, caller sex/gender, reporting party, party presence, nonresponse/no-report outcomes | policy versions, implementation dates, training records, pre/post case-level completeness outcomes | pseudonymous officer, supervisor, prosecutor, judge IDs; linked outcomes; disclosure controls | group fields in DV event-party records, reliability metadata, small-cell disclosure review","Boulder PD, BCSO, Longmont, Lafayette, Louisville, Erie, CUPD, Boulder County Communications | law-enforcement CAD/RMS custodians | law-enforcement CAD/RMS plus narratives/evidence sample | law-enforcement agencies and legal-review sample records | all Boulder County law-enforcement agencies | Boulder County Communications and agency CAD/RMS custodians | Boulder PD and other agency policy/training custodians | law-enforcement agencies, DA, Judicial Branch | law-enforcement agencies, DA, Judicial Branch, municipal courts",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/louisville_police.md,/dv/downloads/records_requests/louisville_police.md,Louisville Police Department Records Request,H0; H2; H3; H5; H6; H8; H10; H11; H12; H13,"party sex/gender, suspect/victim/caller roles, pre-decision evidence, relationship, injury, weapons, scene presence, probable-cause facts, outcome by party | party sex/gender, probable cause, injury, conduct, self-defense, opposing complaints, prior calls, protection orders, witnesses, officer decision | opposing complaints, party-specific allegations/evidence, statutory predominant-aggressor factors, arrest outcome by party | narratives/evidence, legal-panel civil-only classification, sex/gender, criminal/DV classification, arrest/referral | narratives/evidence, legal-panel probable-cause classification, sex/gender, report-only/civil/no-enforcement outcomes | agency-specific CAD/RMS schemas, sex/gender, pre-decision facts, outcomes | caller role, caller sex/gender, reporting party, party presence, nonresponse/no-report outcomes | policy versions, implementation dates, training records, pre/post case-level completeness outcomes | pseudonymous officer, supervisor, prosecutor, judge IDs; linked outcomes; disclosure controls | group fields in DV event-party records, reliability metadata, small-cell disclosure review","Boulder PD, BCSO, Longmont, Lafayette, Louisville, Erie, CUPD, Boulder County Communications | law-enforcement CAD/RMS custodians | law-enforcement CAD/RMS plus narratives/evidence sample | law-enforcement agencies and legal-review sample records | all Boulder County law-enforcement agencies | Boulder County Communications and agency CAD/RMS custodians | Boulder PD and other agency policy/training custodians | law-enforcement agencies, DA, Judicial Branch | law-enforcement agencies, DA, Judicial Branch, municipal courts",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/other_municipal_courts.md,/dv/downloads/records_requests/other_municipal_courts.md,Other Boulder County Municipal Courts Records Request,H1; H7; H13,"stable person/case join keys, arrest/referral/filing/count/disposition/sentence by recorded sex | Action extract, count-level original/amended/final charges, no-file/dismissal reasons, pleas, convictions, sentences, treatment | group fields in DV event-party records, reliability metadata, small-cell disclosure review","all law-enforcement agencies, Twentieth Judicial District Attorney, Colorado Judicial Branch, municipal courts | Twentieth Judicial District Attorney, Colorado Judicial Branch, municipal courts | law-enforcement agencies, DA, Judicial Branch, municipal courts",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
records_requests/twentieth_judicial_da.md,/dv/downloads/records_requests/twentieth_judicial_da.md,Twentieth Judicial District Attorney Records Request,H1; H7; H12; H13,"stable person/case join keys, arrest/referral/filing/count/disposition/sentence by recorded sex | Action extract, count-level original/amended/final charges, no-file/dismissal reasons, pleas, convictions, sentences, treatment | pseudonymous officer, supervisor, prosecutor, judge IDs; linked outcomes; disclosure controls | group fields in DV event-party records, reliability metadata, small-cell disclosure review","all law-enforcement agencies, Twentieth Judicial District Attorney, Colorado Judicial Branch, municipal courts | Twentieth Judicial District Attorney, Colorado Judicial Branch, municipal courts | law-enforcement agencies, DA, Judicial Branch | law-enforcement agencies, DA, Judicial Branch, municipal courts",not_authorized_to_transmit,not_transmitted_requires_user_authorization,,not_requested,,obtain explicit authorization before sending; update this matrix after transmission and response
